time,container,stack,height,status
0,A,1,0,idle
0,B,1,1,idle
0,C,2,0,idle
0,D,2,1,idle
0,E,3,0,idle
0,F,3,1,idle
1,A,1,0,idle
1,B,1,1,idle
1,C,2,0,idle
1,D,2,1,idle
1,E,3,0,idle
1,F,3,1,idle
2,A,1,0,idle
2,B,1,1,idle
2,C,2,0,idle
2,D,2,1,idle
2,E,3,0,idle
2,F,3,1,idle
3,A,1,0,idle
3,B,1,1,idle
3,C,2,0,idle
3,D,2,1,idle
3,E,3,0,idle
3,F,3,1,idle
3,H,0,0,idle
4,A,1,0,idle
4,B,1,1,idle
4,C,2,0,idle
4,D,2,1,idle
4,E,3,0,idle
4,F,3,1,idle
4,G,0,1,idle
4,H,0,0,idle
5,A,1,0,idle
5,B,1,1,idle
5,C,2,0,idle
5,D,2,1,idle
5,E,3,0,idle
5,F,3,1,idle
5,G,0,1,idle
5,H,0,0,idle
6,A,1,0,idle
6,C,2,0,idle
6,D,2,1,idle
6,E,3,0,idle
6,F,3,1,idle
6,G,0,1,idle
6,H,0,0,idle
7,C,2,0,idle
7,D,2,1,idle
7,E,3,0,idle
7,F,3,1,idle
7,G,0,1,idle
7,H,0,0,idle
8,C,2,0,idle
8,D,2,1,idle
8,E,3,0,idle
8,F,3,1,idle
8,G,0,1,idle
8,H,0,0,idle
9,C,2,0,idle
9,D,2,1,idle
9,E,3,0,idle
9,F,3,1,idle
9,G,0,1,idle
9,H,0,0,idle
10,C,2,0,idle
10,D,0,2,idle
10,E,3,0,idle
10,F,3,1,idle
10,G,0,1,idle
10,H,0,0,idle
11,C,2,0,idle
11,D,0,2,idle
11,E,3,0,idle
11,F,3,1,idle
11,G,0,1,idle
11,H,0,0,idle
12,C,2,0,idle
12,D,0,2,idle
12,E,3,0,idle
12,F,3,1,idle
12,G,0,1,idle
12,H,0,0,idle
12,K,1,0,idle
13,C,2,0,idle
13,D,0,2,idle
13,E,3,0,idle
13,F,3,1,idle
13,G,0,1,idle
13,H,0,0,idle
13,J,1,1,idle
13,K,1,0,idle
14,C,2,0,idle
14,D,0,2,idle
14,E,3,0,idle
14,F,3,1,idle
14,G,0,1,idle
14,H,0,0,idle
14,I,1,2,idle
14,J,1,1,idle
14,K,1,0,idle
15,D,0,2,idle
15,E,3,0,idle
15,F,3,1,idle
15,G,0,1,idle
15,H,0,0,idle
15,I,1,2,idle
15,J,1,1,idle
15,K,1,0,idle
16,D,0,2,idle
16,E,3,0,idle
16,F,1,3,idle
16,G,0,1,idle
16,H,0,0,idle
16,I,1,2,idle
16,J,1,1,idle
16,K,1,0,idle
17,D,0,2,idle
17,E,3,0,idle
17,F,1,3,idle
17,G,0,1,idle
17,H,0,0,idle
17,I,1,2,idle
17,J,1,1,idle
17,K,1,0,idle
17,L,2,0,idle
18,D,0,2,idle
18,E,3,0,idle
18,F,1,3,idle
18,G,0,1,idle
18,H,0,0,idle
18,I,1,2,idle
18,J,1,1,idle
18,K,1,0,idle
18,L,2,0,idle
18,M,2,1,idle
19,D,0,2,idle
19,E,3,0,idle
19,F,1,3,idle
19,G,0,1,idle
19,H,0,0,idle
19,I,1,2,idle
19,J,1,1,idle
19,K,1,0,idle
19,L,2,0,idle
19,M,2,1,idle
20,D,0,2,idle
20,E,3,0,idle
20,F,1,3,idle
20,G,0,1,idle
20,H,0,0,idle
20,I,1,2,idle
20,J,1,1,idle
20,K,1,0,idle
20,L,2,0,idle
20,M,2,1,idle
21,D,0,2,idle
21,E,3,0,idle
21,F,1,3,idle
21,G,0,1,idle
21,H,0,0,idle
21,I,1,2,idle
21,J,1,1,idle
21,K,1,0,idle
21,L,2,0,idle
21,M,2,1,idle
22,E,3,0,idle
22,F,1,3,idle
22,G,0,1,idle
22,H,0,0,idle
22,I,1,2,idle
22,J,1,1,idle
22,K,1,0,idle
22,L,2,0,idle
22,M,2,1,idle
23,E,3,0,idle
23,F,1,3,idle
23,G,0,1,idle
23,H,0,0,idle
23,I,1,2,idle
23,J,1,1,idle
23,K,1,0,idle
23,L,2,0,idle
23,M,2,1,idle
24,F,1,3,idle
24,G,0,1,idle
24,H,0,0,idle
24,I,1,2,idle
24,J,1,1,idle
24,K,1,0,idle
24,L,2,0,idle
24,M,2,1,idle
25,F,1,3,idle
25,G,0,1,idle
25,H,0,0,idle
25,I,1,2,idle
25,J,1,1,idle
25,K,1,0,idle
25,L,2,0,idle
25,M,2,1,idle
25,N,2,2,idle
26,F,1,3,idle
26,G,0,1,idle
26,H,0,0,idle
26,I,1,2,idle
26,J,1,1,idle
26,K,1,0,idle
26,L,2,0,idle
26,M,2,1,idle
26,N,2,2,idle
27,F,1,3,idle
27,G,0,1,idle
27,H,0,0,idle
27,I,1,2,idle
27,J,1,1,idle
27,K,1,0,idle
27,L,2,0,idle
27,M,2,1,idle
27,N,2,2,idle
28,F,1,3,idle
28,H,0,0,idle
28,I,1,2,idle
28,J,1,1,idle
28,K,1,0,idle
28,L,2,0,idle
28,M,2,1,idle
28,N,2,2,idle
29,F,1,3,idle
29,H,0,0,idle
29,I,1,2,idle
29,J,1,1,idle
29,K,1,0,idle
29,L,2,0,idle
29,M,2,1,idle
29,N,2,2,idle
30,H,0,0,idle
30,I,1,2,idle
30,J,1,1,idle
30,K,1,0,idle
30,L,2,0,idle
30,M,2,1,idle
30,N,2,2,idle
31,H,0,0,idle
31,I,1,2,idle
31,J,1,1,idle
31,K,1,0,idle
31,L,2,0,idle
31,M,2,1,idle
31,N,2,2,idle
32,H,0,0,idle
32,I,1,2,idle
32,J,1,1,idle
32,K,1,0,idle
32,L,2,0,idle
32,M,2,1,idle
32,N,2,2,idle
32,Q,3,0,idle
33,H,0,0,idle
33,I,1,2,idle
33,J,1,1,idle
33,K,1,0,idle
33,L,2,0,idle
33,M,2,1,idle
33,N,2,2,idle
33,Q,3,0,idle
34,H,0,0,idle
34,I,1,2,idle
34,J,1,1,idle
34,K,1,0,idle
34,L,2,0,idle
34,M,2,1,idle
34,N,2,2,idle
34,O,3,1,idle
34,Q,3,0,idle
35,H,0,0,idle
35,I,1,2,idle
35,J,1,1,idle
35,K,1,0,idle
35,L,2,0,idle
35,M,2,1,idle
35,N,2,2,idle
35,O,3,1,idle
35,Q,3,0,idle
36,H,0,0,idle
36,I,1,2,idle
36,J,1,1,idle
36,K,1,0,idle
36,L,2,0,idle
36,M,2,1,idle
36,N,2,2,idle
36,O,3,1,idle
36,P,3,2,idle
36,Q,3,0,idle
37,H,0,0,idle
37,J,1,1,idle
37,K,1,0,idle
37,L,2,0,idle
37,M,2,1,idle
37,N,2,2,idle
37,O,3,1,idle
37,P,3,2,idle
37,Q,3,0,idle
38,H,0,0,idle
38,J,1,1,idle
38,K,1,0,idle
38,L,2,0,idle
38,M,2,1,idle
38,N,2,2,idle
38,O,3,1,idle
38,P,3,2,idle
38,Q,3,0,idle
39,J,1,1,idle
39,K,1,0,idle
39,L,2,0,idle
39,M,2,1,idle
39,N,2,2,idle
39,O,3,1,idle
39,P,3,2,idle
39,Q,3,0,idle
40,J,1,1,idle
40,K,1,0,idle
40,L,2,0,idle
40,M,2,1,idle
40,N,2,2,idle
40,O,3,1,idle
40,P,3,2,idle
40,Q,3,0,idle
40,S,0,0,idle
41,J,1,1,idle
41,K,1,0,idle
41,L,2,0,idle
41,M,2,1,idle
41,N,2,2,idle
41,O,3,1,idle
41,P,3,2,idle
41,Q,3,0,idle
41,R,0,1,idle
41,S,0,0,idle
42,J,1,1,idle
42,K,1,0,idle
42,L,2,0,idle
42,M,2,1,idle
42,N,2,2,idle
42,O,3,1,idle
42,P,3,2,idle
42,Q,3,0,idle
42,R,0,1,idle
42,S,0,0,idle
43,J,1,1,idle
43,K,1,0,idle
43,L,2,0,idle
43,M,2,1,idle
43,N,2,2,idle
43,O,3,1,idle
43,P,3,2,idle
43,Q,3,0,idle
43,R,0,1,idle
43,S,0,0,idle
44,J,1,1,idle
44,K,1,0,idle
44,L,2,0,idle
44,M,2,1,idle
44,N,2,2,idle
44,O,3,1,idle
44,P,3,2,idle
44,Q,3,0,idle
44,R,0,1,idle
44,S,0,0,idle
45,K,1,0,idle
45,L,2,0,idle
45,M,2,1,idle
45,N,2,2,idle
45,O,3,1,idle
45,P,3,2,idle
45,Q,3,0,idle
45,R,0,1,idle
45,S,0,0,idle
46,L,2,0,idle
46,M,2,1,idle
46,N,2,2,idle
46,O,3,1,idle
46,P,3,2,idle
46,Q,3,0,idle
46,R,0,1,idle
46,S,0,0,idle
47,L,2,0,idle
47,M,2,1,idle
47,N,2,2,idle
47,O,3,1,idle
47,P,3,2,idle
47,Q,3,0,idle
47,R,0,1,idle
47,S,0,0,idle
47,T,1,0,idle
48,L,2,0,idle
48,M,2,1,idle
48,N,2,2,idle
48,O,3,1,idle
48,P,3,2,idle
48,Q,3,0,idle
48,R,0,1,idle
48,S,0,0,idle
48,T,1,0,idle
49,L,2,0,idle
49,M,2,1,idle
49,N,2,2,idle
49,O,3,1,idle
49,P,3,2,idle
49,Q,3,0,idle
49,R,0,1,idle
49,S,0,0,idle
49,T,1,0,idle
50,L,2,0,idle
50,M,2,1,idle
50,O,3,1,idle
50,P,3,2,idle
50,Q,3,0,idle
50,R,0,1,idle
50,S,0,0,idle
50,T,1,0,idle
51,L,2,0,idle
51,O,3,1,idle
51,P,3,2,idle
51,Q,3,0,idle
51,R,0,1,idle
51,S,0,0,idle
51,T,1,0,idle
52,L,2,0,idle
52,O,3,1,idle
52,P,3,2,idle
52,Q,3,0,idle
52,R,0,1,idle
52,S,0,0,idle
52,T,1,0,idle
53,O,3,1,idle
53,P,3,2,idle
53,Q,3,0,idle
53,R,0,1,idle
53,S,0,0,idle
53,T,1,0,idle
54,O,3,1,idle
54,P,3,2,idle
54,Q,3,0,idle
54,R,0,1,idle
54,S,0,0,idle
54,T,1,0,idle
55,O,3,1,idle
55,P,3,2,idle
55,Q,3,0,idle
55,R,0,1,idle
55,S,0,0,idle
55,T,1,0,idle
55,U,2,0,idle
56,O,3,1,idle
56,P,3,2,idle
56,Q,3,0,idle
56,R,0,1,idle
56,S,0,0,idle
56,T,1,0,idle
56,U,2,0,idle
56,X,0,2,idle
57,O,3,1,idle
57,P,3,2,idle
57,Q,3,0,idle
57,R,0,1,idle
57,S,0,0,idle
57,T,1,0,idle
57,U,2,0,idle
57,X,0,2,idle
58,O,3,1,idle
58,P,3,2,idle
58,Q,3,0,idle
58,R,0,1,idle
58,S,0,0,idle
58,T,1,0,idle
58,U,2,0,idle
58,X,0,2,idle
59,O,3,1,idle
59,P,3,2,idle
59,Q,3,0,idle
59,R,0,1,idle
59,S,0,0,idle
59,T,1,0,idle
59,U,2,0,idle
59,V,2,1,idle
59,X,0,2,idle
60,O,3,1,idle
60,P,3,2,idle
60,Q,3,0,idle
60,R,0,1,idle
60,S,0,0,idle
60,T,1,0,idle
60,U,2,0,idle
60,V,2,1,idle
60,W,1,1,idle
60,X,0,2,idle
61,O,3,1,idle
61,P,3,2,idle
61,Q,3,0,idle
61,R,0,1,idle
61,S,0,0,idle
61,T,1,0,idle
61,U,2,0,idle
61,V,2,1,idle
61,W,1,1,idle
61,X,0,2,idle
62,O,3,1,idle
62,Q,3,0,idle
62,R,0,1,idle
62,S,0,0,idle
62,T,1,0,idle
62,U,2,0,idle
62,V,2,1,idle
62,W,1,1,idle
62,X,0,2,idle
63,Q,3,0,idle
63,R,0,1,idle
63,S,0,0,idle
63,T,1,0,idle
63,U,2,0,idle
63,V,2,1,idle
63,W,1,1,idle
63,X,0,2,idle
